timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0538406,0.0169708
0,0.0184715,0.0200293
0,0.0648579,0.0185915
0,0.0435927,0.0194669
0,0.0347754,0.0192635
0,0.0770134,0.0197419
0,0.0709786,0.0209666
0,0.0365977,0.0199168
0,0.0462166,0.0223837
0,0.0512274,0.0210284
0,0.080379,0.01997
0,0.0578085,0.0193506
0,0.0325518,0.0217156
0,0.0433096,0.0197322
0,0.0521571,0.0205968
0,0.046768,0.0188682
0,0.0451781,0.0209471
0,0.0468954,0.0207966
0,0.0755739,0.0181902
0,0.04765,0.0191301
0,0.0253537,0.0189481
0,0.0797722,0.016373
0,0.0271813,0.0199622
0,0.0174913,0.0198034
0,0.0450448,0.0196636
0,0.0494268,0.0208223
0,0.0377144,0.0219508
0,0.071245,0.0190931
0,0.0329369,0.0186394
0,0.0455415,0.0178752
0,0.0316476,0.0172919
0,0.0371816,0.0171901
0,0.0276778,0.0210237
0,0.0456454,0.0229381
0,0.0322038,0.0184657
0,0.0501806,0.0172682
0,0.0518679,0.0217342
0,0.0487429,0.0201289
0,0.0293818,0.0204462
0,0.062046,0.01846
0,0.04626,0.0200716
0,0.0451028,0.0226507
0,0.0411457,0.0199224
0,0.0336746,0.018629
0,0.0381897,0.0180104
0,0.0354984,0.0189999
0,0.0266512,0.0186233
0,0.0298773,0.0211423
0,0.031878,0.0200603
0,0.0372205,0.0173907
0,0.0447761,0.0201837
0,0.045164,0.0188626
0,0.0456319,0.0195304
0,0.0330698,0.0207026
0,0.0436634,0.0162134
0,0.0440982,0.0169125
0,0.0531431,0.0187073
0,0.0638253,0.0185412
0,0.046062,0.0214793
0,0.0496785,0.01904
0,0.0574681,0.0183344
0,0.0604004,0.0201014
0,0.0522359,0.0185866
0,0.0304785,0.0178093
0,0.0425324,0.0177635
0,0.0450553,0.0177656
0,0.0403327,0.0215598
0,0.0526864,0.0198275
0,0.0384366,0.0174032
0,0.0303185,0.0186317
0,0.0265343,0.0186625
0,0.0504456,0.0180793
0,0.0505449,0.0172147
0,0.0306366,0.0162454
0,0.03962,0.0175448
0,0.055137,0.0194197
0,0.0609991,0.0182243
0,0.0369484,0.0181107
0,0.037141,0.0201994
0,0.0581791,0.0205066
0,0.065629,0.0176093
0,0.0826943,0.0157616
0,0.0639068,0.0182443
0,0.0323969,0.0159968
0,0.0384335,0.0158674
0,0.0562955,0.0192732
0,0.0392199,0.0192752
0,0.0606354,0.0176899
0,0.0415088,0.0163308
0,0.0240366,0.0179508
0,0.0326296,0.0170331
0,0.0340771,0.0172648
0,0.0460129,0.017526
0,0.0495815,0.0182253
0,0.077384,0.0194262
0,0.0304524,0.0169173
0,0.0335496,0.0172728
0,0.0281708,0.0179752
0,0.0511096,0.0181282
0,0.0644499,0.0172299
0,0.025451,0.0184787
0,0.0542314,0.0202362
0,0.0297708,0.0173335
0,0.0381801,0.0163127
0,0.050345,0.0186462
0,0.0460628,0.0200353
0,0.0708344,0.0183458
0,0.0593821,0.0180496
0,0.0326191,0.0178805
0,0.0607304,0.019367
0,0.0405468,0.0183954
0,0.0444712,0.0185716
0,0.0784363,0.0358221
0,0.0383626,0.0200786
0,0.0464679,0.0196555
0,0.0514439,0.0189688
0,0.0445402,0.0171878
0,0.0499947,0.0179701
0,0.0667197,0.0161728
0,0.036096,0.0187266
0,0.0568302,0.0187094
0,0.054015,0.0163081
0,0.064172,0.0184187
0,0.0486821,0.01646
0,0.0516061,0.0184316
0,0.0406247,0.0193664
0,0.0309907,0.0161507
0,0.0676222,0.0143902
0,0.0412553,0.0150394
0,0.0160628,0.0163765
0,0.0485166,0.0183489
0,0.0372286,0.0164041
0,0.0515264,0.0181202
0,0.0543935,0.0163566
0,0.0516085,0.016932
0,0.0492575,0.0175357
0,0.0469635,0.0183422
0,0.0415727,0.0191445
0,0.0554273,0.0210304
0,0.0399104,0.0193098
0,0.0462246,0.0199507
0,0.0423656,0.0340147
0,0.0628099,0.0279563
0,0.0672412,0.0165009
0,0.0333364,0.0172676
0,0.0585929,0.0209428
0,0.05085,0.0179794
0,0.0340216,0.0239319
0,0.0588682,0.0215045
0,0.0435278,0.0226488
0,0.0344829,0.0198309
0,0.0393478,0.0169971
0,0.0303209,0.0235654
0,0.0564128,0.0225102
0,0.0368854,0.0235924
0,0.0229211,0.0247151
0,0.0359321,0.032282
0,0.0443311,0.0297891
0,0.0360172,0.0282068
0,0.0641015,0.0323595
0,0.0479157,0.0343643
0,0.0707501,0.0240992
0,0.0740293,0.02
0,0.0488791,0.020331
0,0.0178293,0.0220781
0,0.0685993,0.0196889
0,0.0486641,0.0193357
0,0.0543686,0.0317406
0,0.0510758,0.0236498
0,0.0668112,0.0239416
0,0.049828,0.0167052
0,0.0267641,0.020443
0,0.0561274,0.0183651
0,0.06501,0.0182407
0,0.0488226,0.0172449
0,0.0336265,0.0174201
0,0.0450792,0.0169893
0,0.0733479,0.0161096
0,0.0379914,0.0163033
0,0.0710074,0.0176892
0,0.0736657,0.0158179
0,0.0442215,0.0157166
0,0.0379237,0.0175963
0,0.0552413,0.0178217
0,0.0406396,0.0152627
0,0.0310392,0.016286
0,0.0650976,0.0157749
0,0.0466378,0.0155517
0,0.0694625,0.01713
0,0.0344535,0.0166462
0,0.0384741,0.0161637
0,0.0472157,0.0168868
0,0.0587338,0.016913
0,0.0625093,0.0165991
0,0.0285083,0.0163838
0,0.0692302,0.0153077
0,0.0703785,0.015872
0,0.0430914,0.0159593
0,0.0477681,0.0159749
0,0.0533305,0.0175171
0,0.0480265,0.0170474
0,0.0473119,0.0158714
0,0.0467453,0.0161572
0,0.0569035,0.0182481
0,0.0648975,0.0144188
0,0.0617997,0.0177771
0,0.0408892,0.0138587
0,0.0635359,0.0169199
0,0.0673794,0.0168305
0,0.0566634,0.0178915
0,0.0675901,0.019648
